Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,652860,28470,82604,710,130170,39800,5270,176520,9388214.2,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96740,17820,191800,230800,10230,26,328550,300,1553560,653540,143350,309500,770880,298170,11610,2149690,670,62710,183780,139960,510890,769630,469930,83600,425400,311090,527970
2002,652860,28470,82618,710,130170,39800,5270,176520,9388213.2,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96790,17820,191800,230800,10230,27,328550,300,1553560,653540,143350,309500,770880,298170,11610,2149690,675,62710,183780,139960,510890,769630,469930,83600,425400,310550,527970
2003,652860,28470,82652,720,130170,39800,5270,176520,9388212.7,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96800,17820,191800,230800,10230,27,328550,300,1553560,653540,143350,309500,770880,298170,11610,2149690,687,62710,183590,139960,510890,769630,469930,83600,425400,310070,527970
2004,652860,28470,82672,730,130170,38117,5270,176520,9388212.5,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96820,17820,191800,230800,10230,28,328550,300,1553560,653420,143350,309500,770880,298170,11610,2149690,689,62710,183570,139960,510890,769630,469930,83600,425400,310070,527970
2005,652860,28470,82660,740,130170,38117,5270,176520,9388211.8,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96850,17820,191800,230800,10230,28,328550,300,1553560,653360,143350,309500,770880,298170,11610,2149690,689,62710,183570,139960,510890,769630,469930,83600,425400,310070,527970
2006,652860,28470,82637,740,130170,38117,5270,176520,9388211.4,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96880,17820,191800,230800,10230,28.6,328550,300,1553560,653470,143350,309500,770880,298170,11610,2149690,694,62710,183630,139960,510890,769630,469930,83600,425400,310070,527970
2007,652860,28470,82629,750,130170,38117,5270,176520,9388210.8,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,96920,17820,191800,230800,10230,29.2,328550,300,1553560,653520,143350,309500,770880,298170,11610,2149690,695,62710,183640,139960,510890,769630,469930,83600,425400,310070,527970
2008,652860,28470,82627,760,130170,38117,5270,176520,9388210.8,69490,1050,2973190,1811570,1628550,437370,21640,364500,88240,2699700,120410,97030,17820,191800,230800,10230,29.2,328550,300,1553560,653310,143350,309500,770880,298170,11610,2149690,700,62710,183640,139960,510890,769630,469930,83600,425400,310070,527970
2009,652860,28470,82622,760,130170,38117,5270,176520,9388211,69490,1050,2973190,1811570,1628550,434320,21640,364500,88780,2699700,120410,97100,17820,191800,230800,10230,29.5,328550,300,1553560,653300,143350,309500,770880,298170,11610,2149690,700,62710,183640,139960,510890,769630,469930,83600,425400,310070,527970
2010,652860,28470,82656,762,130170,38117,5270,176520,9388211,69490,1050,2973190,1811570,1628550,434320,21640,364550,88780,2699700,120410,97230,17820,191800,230800,10230,29.7,328550,300,1553560,653260,143350,309500,770880,298170,11610,2149690,702,62710,183630,139960,510890,769630,469930,83600,425400,310070,527970
2011,652860,28470,82658,767,130170,38117,5270,176520,9388211,69490,1050,2973190,1811570,1628550,434320,21640,364555,88780,2699700,120410,97230,17820,191800,230800,10230,29.9,328550,300,1553560,653290,143350,309500,770880,298170,11610,2149690,704,62710,183630,139960,510890,769630,469930,83600,425400,310070,527970
2012,652860,28470,82658,770,130170,38117,5270,176520,9388211,69490,1050,2973190,1811570,1628550,434320,21640,364560,88780,2699700,120410,97350,17820,191800,230800,10230,29.9,328550,300,1553560,653150,143350,309500,770880,298170,11610,2149690,706,62710,183630,139960,510890,769630,469930,83600,425400,310070,527970
2013,652860,28470,82659,770,130170,38117,5270,176520,9388211,69490,1050,2973190,1811570,1628550,434320,21640,364560,88780,2699700,120410,97466,17820,191800,230800,10230,30.3,328550,300,1553560,653080,143350,309500,770880,298170,11610,2149690,707,62710,183630,139960,510890,769630,469930,83600,425400,310070,527970
