Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,31.44802867,107.482824,98.19379207,978.7225352,1027.702727,14.59256281,63.96091082,70.5239123,135.4730488,76.74166346,6394.571429,360.5178916,118.3770437,41.02590403,55.46515307,297.5508318,348.8312757,55.72302811,5.503698559,191.3748111,489.5323754,111.6735129,25.78258603,23.50390381,328.4335288,16849.53846,72.8076792,973.3333333,1.55753817,73.7455764,168.4055877,7.342639742,183.2737612,266.9770299,52.86132644,10.2377259,6176.119403,299.7448573,90.83912286,44.94436268,124.1268649,83.3942206,9.686042602,38.49120813,58.68464974,252.7258993,34.67296816
2002,32.9122308,107.0336846,98.9124646,1021.640845,1046.542644,15.03570352,65.15806452,71.84445955,136.3837796,76.22729977,6422.952381,366.6732896,119.9893391,41.56868196,57.03133045,303.6044362,349.6433471,57.0942883,5.503925621,193.0741051,492.0154871,114.602413,26.02033368,23.84029463,344.3638319,16451.03704,74.27173033,990,1.572841088,74.50186982,171.0287339,7.506310178,187.1518083,272.6443908,54.64151593,10.54482367,6186.666667,301.7222134,92.4884155,45.77392112,125.5390965,84.61957824,9.789057945,40.59880383,59.40726375,256.1188214,35.66887702
2003,34.47502987,106.6533193,99.62372356,1057.770833,1064.762802,15.48929648,66.32960152,73.08643213,137.2359193,75.73568004,6410.285714,372.7880078,121.6115353,42.07551134,58.6012438,309.1358595,350.3923182,58.52221215,5.522472127,194.7443983,494.4143698,117.6202581,26.29457769,24.17245667,361.8244379,16694.59259,75.69448486,1013.333333,1.589282036,75.20879824,173.483781,7.706219709,191.0174476,278.269893,57.55081826,10.86570017,5989.519651,305.7407112,94.25534615,46.67670049,126.8712521,85.83360966,9.890911412,43.37078947,60.10260931,259.5136582,36.69528951
2004,35.99523634,106.2866877,100.4753726,1106.834247,1081.998817,16.63916363,67.49525617,74.28242692,138.0534367,75.55022919,6460.47619,378.8588422,123.2459171,42.56667158,60.17909322,314.6487985,350.5102881,59.95013599,5.560982702,196.3233618,496.1724334,121.5681257,26.61470282,24.51860485,377.641349,16377.82143,77.10249886,1040,1.607032236,75.88189985,175.7804674,7.91015832,194.9304548,283.7181775,63.05736434,11.19025208,6047.460087,309.9186733,96.26797952,47.63238068,128.020752,87.02046568,9.994841785,47.55915072,60.80007052,262.638759,37.75141959
2005,37.37393622,105.898033,101.5225018,1171.640541,1098.025497,17.08326993,68.66963947,75.45920009,138.8677661,76.30427937,6488.761905,384.8816567,124.8942646,43.05800559,61.77312573,320.2449168,350.5432099,61.32139619,5.610634145,197.7686571,497.0374497,127.0260382,26.91657977,24.8917331,389.7228739,16719.60714,78.51506316,1070,1.626230722,76.50407738,177.9340565,8.09980937,198.9367774,288.9002012,72.08647717,11.51106904,6191.291727,313.251475,98.77889633,48.62571449,128.9200669,88.17304029,10.10328985,53.61215311,61.51151857,265.7209662,38.83626911
2006,38.57429617,105.4499824,102.6725317,1271.362162,1112.692925,17.49665504,69.85768501,76.62225244,139.6453429,76.94460968,6530.571429,390.8557156,126.5554077,43.54988425,63.37193452,325.9565619,350.7654321,62.73798731,5.670290773,199.0689893,499.2975434,134.0907969,27.20750782,25.2982539,396.5826979,16773.70629,79.93622888,1110,1.646852391,77.05871578,179.9396163,8.250003231,203.0461148,293.7683167,85.13763997,11.82495802,6342.074928,316.6640089,101.9887818,49.65394398,129.5278553,89.26980627,10.21767923,61.85711722,62.26669017,268.6851356,39.95297649
2007,39.63720246,104.9566913,103.8533687,1368.757333,1126.163379,17.87840071,71.05483871,77.77418989,140.3765881,76.77665419,6586.952381,396.7743841,128.2295633,44.03970342,64.9873974,331.797597,351.1687243,64.15457842,5.735523206,200.248692,501.4202641,142.4574074,27.46819604,25.73498267,399.3573803,16884.31507,81.35932735,1163.333333,1.668925565,77.57806035,181.8180607,8.380452342,207.2536218,298.3717611,101.5465116,12.1336202,6602.302158,319.550311,105.7808593,50.7217848,129.8783926,90.32326183,10.33820995,71.89114833,63.15937941,271.6112491,41.10291304
2008,40.63465521,104.4969793,106.0597625,1468.127632,1138.914289,18.23307186,72.25540797,78.93530478,141.0977052,76.69617551,6626.47619,402.6214635,129.920878,44.53697645,66.67884629,337.7449168,351.3388203,65.57116954,5.805830277,201.3439831,504.469731,151.812009,27.73044838,26.19340988,401.6998045,17372.39726,82.78015218,1206.666667,1.692671027,78.10994168,183.6427136,8.569567044,211.5724691,302.8376933,119.6349699,12.44032488,6913.428571,322.8512199,109.4372522,51.82960846,130.073509,91.40022738,10.46441172,82.53758373,64.18147626,274.5144645,42.2802413
2009,41.67400515,104.1836319,108.2912905,1574.702632,1151.615856,18.56992943,73.44971537,80.12880693,141.8012441,77.17029987,6640.761905,408.3769224,131.6345297,45.05295017,69.00588046,345.9149723,351.2949246,66.62536607,5.960921954,202.4068267,506.5091452,161.6859147,28.06725756,26.66010832,408.772434,17674.74576,84.19119464,1200,1.718357836,78.63114189,185.5086571,8.924306947,216.0141436,307.347758,137.0500431,12.7504389,7125.142857,326.1042896,111.9955946,52.9791369,130.2593455,92.59164404,10.59510991,92.17013158,65.27362482,277.4373529,43.47638313
2010,42.83032656,104.0918862,109.5423442,1655.274278,1164.759753,18.89566335,74.63036053,81.37087016,142.4877434,77.90335561,6689.714286,414.0282,133.3722274,45.59477633,71.07237981,352.2920518,351.309834,68.10092363,6.045701745,203.4756748,508.180253,171.6875982,28.40406674,27.12540728,423.9644184,18000.87542,85.5866687,1223.333333,1.746090914,79.19207207,187.4845483,9.511298869,220.584161,312.0330751,152.0683032,13.06730133,7231.766382,329.3414129,112.8388716,54.1704487,130.5408679,93.95477827,10.72924691,99.63460526,67.14245416,280.3641113,44.68430403
