Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,150.0468,37.008,35.7502,17.209,109.2808,74.509,24.6292,48.8526,8.4602,50.7896,4.0002,63.5316,50.3616,36.5292,65.7636,16.3722,5.5192,34.629,31.7192,1.0204,2.3496,20.9936,40.1232,77.485,21.1314,4.6032,13.407,28.7764,23.5248,24.8488,114.3694,25.5754,48.7032,52.91,19.7446,23.9884,7.521,28.1552,55.7688,42.7298,42.674,46.6864,24.6228,25.9596,22.796,28.2778,91.283
2002,146.248,33.787,34.34,16.942,106.19,70.127,23.597,48.188,8.148,48.351,3.75,60.205,50.99,33.503,65.999,16.052,5.799,33.139,29.127,0.964,2.199,19.666,34.37,75.201,19.341,4.152,13.009,23.926,21.548,24.453,110.996,21.105,45.938,53.872,18.985,20.675,7.541,27.904,53.699,40.851,41.908,45.12,24.42,25.561,18.342,27.91,86.275
2003,140.4764,32.635,37.0942,16.4902,103.6674,65.9384,23.6402,47.946,8.0894,48.832,3.6134,57.0818,51.093,33.0182,68.7998,15.6336,5.6642,32.1116,28.9122,0.8994,2.1778,18.5694,33.4474,75.0988,17.9682,3.962,12.9748,21.9898,21.0448,23.5608,107.5632,19.603,45.0736,53.9148,18.23,18.9466,7.225,26.781,51.87,41.154,42.0144,44.0312,23.7132,26.4232,18.2748,28.4872,84.6464
2004,134.7048,31.483,39.8484,16.0384,101.1448,61.7498,23.6834,47.704,8.0308,49.313,3.4768,53.9586,51.196,32.5334,71.6006,15.2152,5.5294,31.0842,28.6974,0.8348,2.1566,17.4728,32.5248,74.9966,16.5954,3.772,12.9406,20.0536,20.5416,22.6686,104.1304,18.101,44.2092,53.9576,17.475,17.2182,6.909,25.658,50.041,41.457,42.1208,42.9424,23.0064,27.2854,18.2076,29.0644,83.0178
2005,128.9332,30.331,42.6026,15.5866,98.6222,57.5612,23.7266,47.462,7.9722,49.794,3.3402,50.8354,51.299,32.0486,74.4014,14.7968,5.3946,30.0568,28.4826,0.7702,2.1354,16.3762,31.6022,74.8944,15.2226,3.582,12.9064,18.1174,20.0384,21.7764,100.6976,16.599,43.3448,54.0004,16.72,15.4898,6.593,24.535,48.212,41.76,42.2272,41.8536,22.2996,28.1476,18.1404,29.6416,81.3892
2006,123.1616,29.179,45.3568,15.1348,96.0996,53.3726,23.7698,47.22,7.9136,50.275,3.2036,47.7122,51.402,31.5638,77.2022,14.3784,5.2598,29.0294,28.2678,0.7056,2.1142,15.2796,30.6796,74.7922,13.8498,3.392,12.8722,16.1812,19.5352,20.8842,97.2648,15.097,42.4804,54.0432,15.965,13.7614,6.277,23.412,46.383,42.063,42.3336,40.7648,21.5928,29.0098,18.0732,30.2188,79.7606
2007,117.39,28.027,48.111,14.683,93.577,49.184,23.813,46.978,7.855,50.756,3.067,44.589,51.505,31.079,80.003,13.96,5.125,28.002,28.053,0.641,2.093,14.183,29.757,74.69,12.477,3.202,12.838,14.245,19.032,19.992,93.832,13.595,41.616,54.086,15.21,12.033,5.961,22.289,44.554,42.366,42.44,39.676,20.886,29.872,18.006,30.796,78.132
2008,111.4708,27.5424,49.2276,14.5034,91.9356,44.892,23.4052,47.3456,7.7882,49.9516,3.1566,41.759,51.505,30.5856,80.003,13.4816,5.0068,27.602,28.7176,0.6404,2.034,13.6564,32.1248,72.983,12.701,3.3352,12.8228,13.276,19.0316,19.5216,90.0664,13.0036,41.4576,54.6682,14.5062,11.8038,5.5506,21.3866,44.1054,41.788,42.8914,38.066,20.3088,29.4226,18.0554,31.849,75.5556
2009,105.5516,27.0578,50.3442,14.3238,90.2942,40.6,22.9974,47.7132,7.7214,49.1472,3.2462,38.929,51.505,30.0922,80.003,13.0032,4.8886,27.202,29.3822,0.6398,1.975,13.1298,34.4926,71.276,12.925,3.4684,12.8076,12.307,19.0312,19.0512,86.3008,12.4122,41.2992,55.2504,13.8024,11.5746,5.1402,20.4842,43.6568,41.21,43.3428,36.456,19.7316,28.9732,18.1048,32.902,72.9792
2010,99.6324,26.5732,51.4608,14.1442,88.6528,36.308,22.5896,48.0808,7.6546,48.3428,3.3358,36.099,51.505,29.5988,80.003,12.5248,4.7704,26.802,30.0468,0.6392,1.916,12.6032,36.8604,69.569,13.149,3.6016,12.7924,11.338,19.0308,18.5808,82.5352,11.8208,41.1408,55.8326,13.0986,11.3454,4.7298,19.5818,43.2082,40.632,43.7942,34.846,19.1544,28.5238,18.1542,33.955,70.4028
