Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,47.835,13.306,13.6,20.656,26.945,26.565,20.913,27.327,13.38,11.898,7.2,26.004,21.486,18.29,35.614,21.2,9.3,30.821,14.9,17.414,11.6,23.147,19.8,30.999,17.631,8.46,21.445,21.897,19.035,24.193,31.2,23.435,31.311,29.301,19.027,25.507,11.8,18.49,29.81,29.937,14.025,21.021,23.351,15.829,20.54723255,17.031,38.634
2002,47.23,13.511,13.5,20.138,26.252,25.601,20.137,26.793,12.86,11.975,7.1,25.547,21.49,17.965,35.318,21.2,9.3,30.546,14.6,16.92,10.2,22.383,19.2,30.287,16.698,8.016,20.39,21.273,19.001,23.985,30.249,22.773,30.749,28.892,18.341,24.829,11.4,18.527,29.113,29.447,13.653,20.591,23.152,15.287,21.07132599,16.93,38.091
2003,46.538,13.741,13.8,19.595,25.55,24.734,19.522,26.44,12.41,12.176,6.9,25.087,21.5,17.785,35.001,21.7,9.2,30.353,16.63,16.431,10.2,21.777,20.9,29.753,15.775,7.757,19.435,20.854,19.209,23.682,29.301,22.256,30.352,28.404,17.506,24.246,10.5,18.57,28.419,29.117,13.32,20.176,22.985,14.759,19.88672175,16.916,37.626
2004,45.761,13.949,15.8,19.025,24.846,23.969,19.065,26.24,12.29,12.473,7.2,24.622,21.499,17.723,34.663,21.3,8.693604565,30.229,18.19,15.961,9.8,21.401,21.6,29.38,14.9,7.688,18.62,20.615,19.627,23.28,28.369,21.874,30.115,27.845,16.553,23.755,10.3,18.606,27.749,28.947,13.025,19.779,22.815,14.24,20.89286097,16.943,37.207
2005,44.887,14.097,16.9,18.442,24.152,23.283,18.738,26.145,12.4,12.822,8.4,24.146,21.476,17.753,34.307,20.8,8.413292219,30.143,18.42,15.532,8.9,21.263,21.4,29.134,14.128,7.806,17.971,20.536,20.223,22.779,27.451,21.618,30.023,27.238,15.55,23.347,10.2,18.631,27.125,28.942,12.764,19.403,22.624,13.735,20.3894066,16.967,36.804
2006,43.893,14.164,17.6,17.873,23.484,22.638,18.499,26.098,12.09,13.173,9.6,23.653,21.429,17.856,33.933,21,8.65,30.05,19.71,15.166,9.2,21.31,23.3,28.966,13.514,8.096,17.498,20.599,20.959,22.189,26.533,21.475,30.041,26.619,14.581,23.003,10.3,18.641,26.569,29.098,12.533,19.047,22.421,13.255,20.98839616,16.955,36.394
2007,42.779,14.161,17.7,17.347,22.858,21.991,18.292,26.043,12.1,13.478,10.2,23.144,21.364,18.001,33.543,21.1,8.63,29.902,20.79,14.87,10,21.41,23.4,28.821,13.079,8.511,17.171,20.77,21.769,21.544,25.607,21.409,30.111,26.025,13.725,22.695,10,18.636,26.08,29.38,12.323,18.706,22.231,12.814,22.66327004,16.902,35.969
2008,41.56,14.101,17.4,16.879,22.283,21.319,18.07,25.937,12.14,13.699,11.3,22.625,21.283,18.154,33.141,21.5,8.7,29.665,22.75,14.648,9.4,21.463,23.9,28.651,12.828,8.999,16.954,21.003,22.576,20.88,24.676,21.379,30.178,25.489,13.036,22.395,10.2,18.614,25.654,29.735,12.123,18.377,22.069,12.423,23.66417973,16.803,35.524
2009,40.265,13.986,17,16.47,21.763,20.619,17.809,25.755,12.13,13.814,11.8,22.103,21.177,18.278,32.731,21.5,8.5,29.322,22.15,14.498,9,21.435,25.2,28.429,12.751,9.52,16.828,21.247,23.311,20.223,23.76,21.347,30.208,25.023,12.536,22.087,9.9,18.566,25.287,30.116,11.927,18.058,21.928,12.079,23.39916664,16.646,35.05
2010,38.94,13.83,18.3,16.107,21.298,19.914,17.499,25.491,11.9,13.815,12.6,21.595,21.034,18.336,32.317,21.8,8.5,28.869,22.54,14.411,9.4,21.314,26.8,28.142,12.822,10.032,16.773,21.449,23.892,19.601,22.892,21.265,30.17,24.634,12.223,21.754,9.3,18.477,24.964,30.46,11.725,17.746,21.796,11.778,22.7,16.428,34.546
2011,37.636,13.652,19.2,15.764,20.882,19.241,17.146,25.164,11.93,13.713,13.5,21.116,20.841,18.295,31.905,21.4,8.3,28.317,22.52,14.374,9.4,21.107,27.1,27.8,12.998,10.501,16.765,21.561,24.252,19.038,22.116,21.091,30.047,24.315,12.063,21.388,9.5,18.332,24.662,30.708,11.51,17.439,21.659,11.514,21.5,16.157,34.017
2012,36.396,13.474,18.8,15.414,20.501,18.639,16.774,24.812,12.1,13.542,12.8,20.679,20.595,18.15,31.496,21.6,8.2,27.699,22.69,14.363,9.6,20.852,27.6,27.43,13.218,10.913,16.783,21.565,24.378,18.543,21.455,20.81,29.848,24.041,11.989,20.993,10.1,18.127,24.36,30.826,11.281,17.135,21.505,11.273,21,15.854,33.481
