Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,56.62,75.207,70.12,75.671,66.364,61.667,77.132,61.525,74.036,75.656,84.6,63.887,68.231,71.607,72.834,81.2,84.9,73.453,71.3,69.703,80.04,74.366,72.6,60.864,76.62,80.264,75.151,72.094,66.553,64.501,64.169,74.902,63.866,69.957,77.849,74.328,80.3,75.746,75.267,68.03,74.669,74.254,68.033,75.852,70.378,78.743,62.097
2002,56.983,75.662,70.435,75.833,66.996,62.59,77.319,62.476,74.43,75.926,84.5,64.273,68.467,72.098,72.697,81.5,85.2,73.645,71.5,70.458,80.45,74.438,72,61.436,77.217,80.479,75.332,73.139,67.23,64.794,64.871,75.342,64.112,70.107,77.981,74.406,80.6,76.388,75.621,68.421,74.867,74.702,68.165,76.112,70.474,78.985,62.295
2003,57.357,76.071,70.831,75.991,67.603,63.492,77.498,63.444,74.784,76.179,84.3,64.655,68.708,72.583,72.557,81.8,85.33,73.833,71.5,71.083,80.81,74.508,72.2,62.008,77.845,80.691,75.5,74.095,67.876,65.078,65.541,75.77,64.347,70.255,78.109,74.46,81.6,76.843,75.974,68.845,75.112,75.135,68.298,76.363,70.563,79.203,62.485
2004,57.747,76.428,71.297,76.146,68.182,64.36,77.678,64.4,75.087,76.412,84.7,65.038,68.954,73.058,72.429,82.4,85.59,74.017,71.65,71.521,81.35,74.577,72.2,62.579,78.489,80.9,75.656,74.937,68.475,65.353,66.179,76.186,64.572,70.401,78.236,74.502,82,77.087,76.319,69.295,75.4,75.555,68.435,76.601,70.645,79.398,62.672
2005,58.151,76.736,71.803,76.298,68.734,65.173,77.874,65.311,75.339,76.619,84.5,65.432,69.203,73.519,72.331,82.2,85.49,74.197,71.8,71.769,81.89,74.649,71.9,63.141,79.126,81.105,75.801,75.641,69.034,65.623,66.784,76.587,64.796,70.543,78.366,74.542,82.5,77.14,76.641,69.763,75.716,75.962,68.575,76.825,70.726,79.569,62.866
2006,58.564,77.002,72.305,76.45,69.26,65.915,78.103,66.144,75.545,76.803,85.5,65.849,69.447,73.963,72.281,82.5,85.81,74.374,72,71.873,82.36,74.727,72.1,63.69,79.729,81.306,75.94,76.193,69.571,65.893,67.356,76.967,65.028,70.682,78.506,74.595,82.6,77.058,76.921,70.24,76.044,76.355,68.719,77.037,70.81,79.719,63.075
2007,58.975,77.244,72.759,76.6,69.764,66.583,78.374,66.89,75.723,76.968,85.4,66.29,69.679,74.388,72.284,82.4,85.99,74.549,72.6,71.938,82.73,74.814,72.2,64.223,80.275,81.503,76.075,76.609,70.114,66.165,67.899,77.324,65.274,70.817,78.658,74.665,82.9,76.937,77.148,70.715,76.363,76.734,68.867,77.238,70.902,79.85,63.307
2008,59.379,77.473,73.132,76.75,70.25,67.178,78.689,67.546,75.889,77.122,85.5,66.752,69.895,74.79,72.339,83,86.05,74.725,72.4,72.043,83.29,74.91,72.6,64.739,80.752,81.696,76.212,76.913,70.679,66.442,68.416,77.656,65.537,70.95,78.824,74.758,83.3,76.856,77.32,71.176,76.656,77.096,69.016,77.431,71.006,79.967,63.561
2009,59.772,77.694,73.415,76.9,70.722,67.704,79.041,68.114,76.049,77.266,85.9,67.231,70.094,75.165,72.447,83.3,86.44,74.902,73.5,72.211,83.77,75.015,73.2,65.235,81.154,81.884,76.352,77.125,71.264,66.72,68.909,77.963,65.817,71.081,79.003,74.876,83.7,76.845,77.442,71.613,76.917,77.442,69.166,77.617,71.122,80.074,63.836
2010,60.154,77.908,73.609,77.049,71.181,68.169,79.414,68.605,76.207,77.403,86,67.718,70.281,75.509,72.599,83.6,86.3,75.079,73.32,72.448,84.07,75.131,73.5,65.714,81.488,82.068,76.498,77.272,71.853,66.997,69.379,78.245,66.105,71.214,79.19,75.02,84,76.915,77.529,72.012,77.144,77.773,69.316,77.799,71.25,80.174,64.124
2011,60.527,78.109,73.731,77.198,71.629,68.588,79.788,69.041,76.365,77.536,86.7,68.199,70.46,75.816,72.784,83.5,85.9,75.256,73.81,72.741,84.45,75.256,73.7,66.179,81.767,82.248,76.649,77.387,72.426,67.264,69.829,78.506,66.392,71.349,79.38,75.184,84.1,77.058,77.602,72.366,77.341,78.09,69.466,77.977,71.387,80.271,64.417
2012,60.893,78.291,73.819,77.347,72.067,68.979,80.139,69.455,76.522,77.667,86.4,68.66,70.638,76.087,72.983,83.6,86.41,75.432,74.33,73.056,84.64,75.388,74.1,66.634,82.015,82.426,76.804,77.498,72.96,67.516,70.259,78.75,66.667,71.49,79.565,75.359,84.3,77.237,77.684,72.675,77.52,78.393,69.613,78.152,71.527,80.366,64.701
2013,61.256,78.452,73.9,77.493,72.495,69.358,80.451,69.87,76.675,77.796,86.7,69.092,70.821,76.324,73.181,83.9,86.61,75.606,75.06,73.364,84.83,75.523,74.3,67.084,82.255,82.601,76.961,77.627,73.438,67.75,70.671,78.981,66.922,71.636,79.742,75.537,84.6,77.42,77.791,72.942,77.694,78.685,69.759,78.324,71.668,80.461,64.969
