Year,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Bahrain,Brunei Darussalam,Bhutan,China,Georgia,"Hong Kong SAR, China",Indonesia,India,"Iran, Islamic Rep.",Iraq,Israel,Jordan,Japan,Kazakhstan,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Sri Lanka,"Macao SAR, China",Maldives,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,"Korea, Dem. Rep.",Qatar,Saudi Arabia,Singapore,Syrian Arab Republic,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Vietnam,"Yemen, Rep."
2001,55.48753659,74.71287805,71.75582927,67.15029268,65.93017073,74.78182927,75.4832439,61.54663415,72.61978049,71.92978049,81.42439024,66.43012195,63.01985366,70.52165854,70.66741463,79.40731707,71.95636585,81.41707317,65.76829268,68.70731707,59.24726829,76.34195122,73.43380488,59.44829268,74.89492683,71.90095122,77.83465854,71.00558537,62.39895122,63.37636585,73.04331707,63.02219512,72.79021951,63.01370732,66.80239024,65.80365854,76.60743902,72.71663415,78.25121951,73.61158537,70.84904878,64.07482927,64.02609756,70.55185366,67.02926829,73.87970732,60.67668293
2002,55.85719512,74.96826829,72.20160976,67.56107317,66.47817073,74.95407317,75.66768293,62.43582927,73.06960976,72.21207317,81.47804878,66.6082439,63.39919512,70.89843902,70.43104878,79.45121951,72.1324878,81.56341463,65.96829268,68.10731707,60.187,76.83902439,73.51092683,60.02182927,75.4212439,72.57368293,78.04197561,71.92919512,62.70731707,63.84182927,73.20382927,63.68680488,73.21331707,63.2407561,66.92165854,66.64829268,76.71331707,72.87146341,78.55121951,73.90002439,71.1182439,64.51090244,64.13760976,71.07309756,67.10836585,74.1022439,60.888
2003,56.23529268,75.21721951,72.60958537,68.00368293,67.00014634,75.11770732,75.84617073,63.303,73.46509756,72.47173171,81.32926829,66.78880488,63.77453659,71.25385366,70.12356098,79.64878049,72.30460976,81.76,65.86585366,68.25609756,61.13758537,77.2502439,73.58656098,60.59639024,75.96626829,73.0942439,78.24629268,72.80734146,63.00207317,64.29626829,73.34929268,64.32043902,73.62441463,63.45834146,67.03892683,67.35473171,76.81468293,72.99460976,79.03902439,74.1895122,71.43392683,65.002,64.24039024,71.55987805,67.18660976,74.2992439,61.09182927
2004,56.62631707,75.45726829,72.9737561,68.47019512,67.49719512,75.27321951,76.02412195,64.13617073,73.79370732,72.7057561,81.7804878,66.97487805,64.14780488,71.59363415,69.76865854,80.14634146,72.4737561,82.0302439,65.88780488,68.15365854,62.07360976,77.84658537,73.66221951,61.16943902,76.52165854,73.43402439,78.44812195,73.61758537,63.28321951,64.73495122,73.48121951,64.92258537,74.023,63.66746341,67.15419512,67.85982927,76.91607317,73.09346341,79.4902439,74.4704878,71.78646341,65.53702439,64.33743902,72.01112195,67.26502439,74.4737561,61.29265854
2005,57.0272439,75.68639024,73.28739024,68.93726829,67.97185366,75.42214634,76.21346341,64.91843902,74.05390244,72.91070732,81.5804878,67.16856098,64.52387805,71.93170732,69.40790244,80.15121951,72.63890244,81.92512195,65.9097561,67.95609756,62.96770732,78.43268293,73.73831707,61.7345122,77.07158537,73.60073171,78.64902439,74.33234146,63.55526829,65.16692683,73.60060976,65.49429268,74.40760976,63.87763415,67.2664878,68.157,77.02353659,73.177,79.9902439,74.71668293,72.15726829,66.09721951,64.43236585,72.42836585,67.34704878,74.62785366,61.49792683
2006,57.43256098,75.90453659,73.54826829,69.37473171,68.42563415,75.56646341,76.42812195,65.63790244,74.25631707,73.08907317,82.37560976,67.3674878,64.90809756,72.28812195,69.09156098,80.55365854,72.80104878,82.32195122,66.16097561,67.69512195,63.79558537,78.96926829,73.81682927,62.28863415,77.59673171,73.63602439,78.85156098,74.92685366,63.8242439,65.60609756,73.71143902,66.03607317,74.77480488,64.09939024,67.3747561,68.2927561,77.14560976,73.25817073,80.14146341,74.89782927,72.52573171,66.66180488,64.53180488,72.81573171,67.43514634,74.76863415,61.71717073
2007,57.83382927,76.11117073,73.76465854,69.756,68.85997561,75.7077561,76.67556098,66.29309756,74.42407317,73.24843902,82.32682927,67.56773171,65.30043902,72.67419512,68.85946341,80.50487805,72.96119512,82.50707317,66.50487805,67.84634146,64.55234146,79.3495122,73.89870732,62.82726829,78.08331707,73.62002439,79.0562439,75.39970732,64.09368293,66.06817073,73.81826829,66.55192683,75.12360976,64.33873171,67.47902439,68.37619512,77.28685366,73.34507317,80.44146341,74.99780488,72.87443902,67.2074878,64.63882927,73.18192683,67.52970732,74.90219512,61.95480488
2008,58.22502439,76.3077561,73.945,70.06292683,69.27785366,75.8475122,76.9567561,66.88502439,74.57982927,73.39680488,82.37560976,67.76478049,65.69943902,73.09207317,68.73468293,80.95121951,73.11978049,82.58756098,67.02195122,68.45121951,65.23497561,79.83268293,73.98292683,63.34890244,78.52241463,73.61995122,79.26460976,75.75953659,64.36760976,66.55992683,73.92607317,67.04536585,75.45253659,64.59814634,67.58078049,68.49195122,77.4487561,73.4457561,80.7902439,75.01512195,73.18843902,67.71458537,64.75607317,73.53419512,67.63217073,75.03507317,62.21136585
2009,58.60368293,76.49478049,74.09582927,70.29265854,69.68378049,75.98778049,77.26829268,67.41665854,74.73163415,73.53773171,82.77560976,67.95763415,66.10263415,73.53417073,68.72795122,81.40487805,73.27834146,82.93146341,68.42926829,69.10243902,65.84446341,80.29731707,74.07,63.85104878,78.91007317,73.66119512,79.47617073,76.01865854,64.64356098,67.07680488,74.03841463,67.51839024,75.76209756,64.87609756,67.68104878,68.66404878,77.62980488,73.56426829,81.24146341,74.96246341,73.46173171,68.17053659,64.88353659,73.87609756,67.74202439,75.1707561,62.48534146
2010,58.97082927,76.6752439,74.22634146,70.45029268,70.08029268,76.12756098,77.59826829,67.89241463,74.88502439,73.67473171,82.97804878,68.14719512,66.50614634,73.98317073,68.8297561,81.60243902,73.43587805,82.84268293,68.29536585,69.3,66.38565854,80.55121951,74.16192683,64.33363415,79.25278049,73.75526829,79.69039024,76.2004878,64.9174878,67.60382927,74.15778049,67.9714878,76.05280488,65.16256098,67.78331707,68.90002439,77.8255122,73.70160976,81.54146341,74.86763415,73.69436585,68.56339024,65.0212439,74.21119512,67.8587561,75.31173171,62.76873171
