Year,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Bahrain,Brunei Darussalam,Bhutan,China,Georgia,"Hong Kong SAR, China",Indonesia,India,"Iran, Islamic Rep.",Iraq,Israel,Jordan,Japan,Kazakhstan,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Sri Lanka,"Macao SAR, China",Maldives,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,"Korea, Dem. Rep.",Qatar,Saudi Arabia,Singapore,Syrian Arab Republic,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Vietnam,"Yemen, Rep."
2001,54.409,73.628,68.469,64.322,65.517,73.935,73.913,61.432,71.271,68.381,78.4,64.715,62.194,69.488,68.604,77.7,70.531,78.1,60.5,65,57.078,72.82,72.546,58.1,73.252,68.239,75.521,69.969,60.397,60.351,71.036,61.93,70.779,62.202,63.798,62.09,75.425,71.182,76.3,72.035,67.211,60.308,60.21,67.026,63.84,69.248,59.324
2002,54.785,73.879,68.906,64.824,65.985,74.117,74.095,62.289,71.774,68.675,78.6,64.838,62.567,69.756,68.273,77.5,70.692,78.1,60.7,64.4,58.007,73.4,72.628,58.675,73.711,68.941,75.721,70.777,60.72,60.615,71.177,62.559,71.186,62.411,63.888,63.02,75.506,71.41,76.6,72.261,67.548,60.787,60.302,67.617,63.903,69.452,59.548
2003,55.167,74.126,69.313,65.311,66.426,74.286,74.273,63.123,72.209,68.941,78.5,64.961,62.936,69.988,67.806,77.6,70.849,78.36,60.5,64.5,58.941,73.86,72.709,59.252,74.177,69.524,75.918,71.581,61.025,60.887,71.301,63.158,71.581,62.612,63.976,63.804,75.582,71.599,76.6,72.49,67.931,61.342,60.376,68.155,63.971,69.629,59.765
2004,55.559,74.368,69.684,65.778,66.845,74.442,74.449,63.923,72.562,69.176,79,65.09,63.3,70.199,67.235,78,71.004,78.64,60.4,64.3,59.858,74.51,72.791,59.827,74.648,69.955,76.113,72.361,61.312,61.173,71.41,63.726,71.963,62.806,64.062,64.373,75.659,71.752,77.1,72.71,68.345,61.958,60.435,68.636,64.046,69.784,59.979
2005,55.957,74.602,70.003,66.208,67.246,74.588,74.632,64.676,72.83,69.379,78.8,65.231,63.659,70.42,66.624,78.2,71.155,78.53,60.3,64.2,60.736,75.14,72.871,60.395,75.115,70.23,76.31,73.086,61.586,61.484,71.505,64.266,72.332,63.003,64.146,64.717,75.745,71.877,77.6,72.884,68.768,62.606,60.487,69.063,64.129,69.922,60.195
2006,56.355,74.826,70.259,66.584,67.631,74.725,74.833,65.374,73.029,69.552,79.4,65.387,64.012,70.693,66.054,78.7,71.303,79,60.6,63.5,61.559,75.74,72.95,60.954,75.566,70.377,76.514,73.721,61.854,61.83,71.589,64.779,72.687,63.215,64.225,64.883,75.85,71.985,77.8,72.971,69.175,63.254,60.544,69.445,64.221,70.054,60.424
2007,56.747,75.038,70.451,66.896,67.999,74.858,75.058,66.017,73.187,69.706,79.4,65.557,64.358,71.042,65.598,78.7,71.449,79.19,60.7,63.7,62.326,76.13,73.027,61.498,75.996,70.461,76.726,74.248,62.121,62.215,71.669,65.269,73.028,63.448,64.3,64.984,75.981,72.088,78.1,72.95,69.552,63.867,60.612,69.799,64.318,70.19,60.667
2008,57.126,75.238,70.585,67.14,68.352,74.988,75.307,66.606,73.333,69.849,79.4,65.736,64.697,71.475,65.302,79,71.591,79.29,61.9,64.5,63.034,76.54,73.1,62.025,76.399,70.538,76.949,74.661,62.392,62.637,71.749,65.74,73.354,63.704,64.372,65.11,76.139,72.196,78.4,72.82,69.886,64.418,60.699,70.142,64.419,70.338,60.926
2009,57.491,75.426,70.669,67.319,68.695,75.119,75.58,67.143,73.477,69.987,79.8,65.923,65.028,71.981,65.186,79.6,71.732,79.59,63.6,65.2,63.683,76.99,73.17,62.533,76.773,70.629,77.183,74.965,62.666,63.089,71.835,66.194,73.666,63.98,64.443,65.286,76.322,72.315,78.9,72.601,70.171,64.892,60.805,70.48,64.523,70.501,61.199
2010,57.844,75.605,70.72,67.442,69.032,75.25,75.869,67.629,73.626,70.124,80.1,66.115,65.352,72.53,65.24,79.7,71.871,79.55,63.51,65.3,64.272,77.2,73.239,63.019,77.124,70.746,77.426,75.18,62.937,63.557,71.929,66.631,73.965,64.265,64.516,65.521,76.526,72.446,79.2,72.333,70.409,65.279,60.931,70.819,64.629,70.681,61.478
2011,58.186,75.779,70.756,67.523,69.37,75.382,76.165,68.071,73.782,70.261,80.3,66.31,65.671,73.076,65.427,79.9,72.007,79.44,64.16,65.7,64.808,77.65,73.308,63.483,77.456,70.891,77.676,75.338,63.197,64.024,72.037,67.052,74.253,64.547,64.597,65.804,76.74,72.589,79.5,72.074,70.608,65.583,61.07,71.16,64.736,70.874,61.755
2012,58.524,75.95,70.796,67.583,69.711,75.513,76.456,68.479,73.94,70.4,80.7,66.502,65.985,73.573,65.679,79.9,72.143,79.94,64.84,66.1,65.304,77.95,73.379,63.929,77.781,71.05,77.93,75.476,63.439,64.474,72.156,67.456,74.532,64.812,64.69,66.102,76.954,72.737,79.8,71.879,70.788,65.826,61.215,71.5,64.844,71.074,62.019
2013,58.859,76.121,70.856,67.639,70.055,75.644,76.733,68.86,74.094,70.54,81.1,66.689,66.297,73.985,65.939,80.3,72.278,80.21,65.75,66.3,65.774,78.25,73.453,64.357,78.104,71.212,78.185,75.627,63.658,64.894,72.288,67.842,74.803,65.051,64.794,66.39,77.158,72.883,80.2,71.787,70.964,66.027,61.359,71.834,64.951,71.276,62.264
