Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,7.395,1.687,1.8,2.718,3.069,3.417,2.181,3.654,1.514,1.592,0.932,3.243,2.473,2.092,4.879,2.92,1.33,3.966,1.9,1.992,1.297,2.796,2.4,4.132,2.137,0.889,2.683,2.77,2.098,2.88,3.877,3.488,4.438,3.767,3.126,3.797,1.41,2.243,3.841,3.857,1.641,2.404,2.783,2.532,2.46,1.94,6.164
2002,7.273,1.698,1.8,2.665,2.971,3.247,2.105,3.521,1.527,1.593,0.939,3.174,2.469,1.997,4.795,2.89,1.32,3.893,2,1.996,1.166,2.718,2.5,3.984,2.044,0.852,2.545,2.627,2.081,2.851,3.724,3.298,4.314,3.71,2.996,3.639,1.37,2.252,3.724,3.756,1.616,2.356,2.741,2.428,2.52,1.918,6.002
2003,7.137,1.714,1.9,2.602,2.874,3.095,2.049,3.406,1.546,1.609,0.901,3.105,2.471,1.925,4.713,2.95,1.29,3.832,2.03,2,1.18,2.66,2.5,3.857,1.948,0.831,2.418,2.51,2.091,2.814,3.575,3.148,4.211,3.644,2.855,3.504,1.27,2.263,3.61,3.669,1.595,2.311,2.701,2.329,2.36,1.907,5.842
2004,6.987,1.729,2.0535,2.529,2.779,2.962,2.013,3.309,1.566,1.639,0.927,3.036,2.475,1.87,4.634,2.9,1.29,3.78,2.21,2.004,1.154,2.63,2.6,3.75,1.854,0.827,2.307,2.418,2.124,2.769,3.43,3.035,4.129,3.569,2.707,3.392,1.26,2.274,3.501,3.597,1.58,2.27,2.66,2.236,2.46,1.902,5.68
2005,6.822,1.737,2,2.449,2.687,2.844,1.994,3.227,1.585,1.678,0.966,2.966,2.481,1.831,4.557,2.84,1.26,3.734,2.22,2.005,1.076,2.628,2.5,3.66,1.765,0.84,2.217,2.347,2.176,2.714,3.289,2.957,4.067,3.487,2.562,3.3,1.26,2.286,3.401,3.543,1.568,2.234,2.615,2.149,2.36,1.897,5.515
2006,6.639,1.736,1.97,2.367,2.6,2.738,1.986,3.155,1.602,1.719,0.984,2.896,2.489,1.805,4.483,2.88,1.32,3.689,2.36,2.006,1.123,2.645,2.7,3.582,1.686,0.869,2.146,2.295,2.245,2.652,3.151,2.912,4.02,3.404,2.428,3.224,1.28,2.298,3.313,3.51,1.561,2.202,2.569,2.071,2.39,1.889,5.347
2007,6.437,1.726,1.97,2.292,2.521,2.636,1.982,3.086,1.617,1.758,1.028,2.826,2.497,1.788,4.412,2.9,1.34,3.641,2.5,2.005,1.25,2.667,2.8,3.511,1.621,0.909,2.093,2.261,2.324,2.585,3.012,2.892,3.98,3.324,2.312,3.16,1.29,2.311,3.237,3.495,1.557,2.173,2.523,2.004,2.55,1.877,5.18
2008,6.218,1.707,1.9,2.229,2.449,2.534,1.977,3.018,1.63,1.788,1.064,2.755,2.504,1.779,4.343,2.96,1.37,3.586,2.7,2.005,1.192,2.681,2.8,3.44,1.57,0.957,2.051,2.238,2.407,2.517,2.873,2.886,3.942,3.251,2.219,3.101,1.28,2.323,3.173,3.493,1.553,2.147,2.482,1.948,2.64,1.862,5.016
2009,5.985,1.68,1.82,2.179,2.387,2.431,1.968,2.947,1.642,1.809,1.055,2.687,2.51,1.772,4.276,2.96,1.37,3.526,2.55,2.004,1.149,2.683,2.9,3.368,1.535,1.009,2.021,2.222,2.487,2.449,2.737,2.888,3.901,3.187,2.15,3.044,1.22,2.335,3.121,3.502,1.551,2.123,2.445,1.903,2.53,1.843,4.856
2010,5.746,1.648,1.92,2.142,2.332,2.331,1.953,2.875,1.65,1.82,1.127,2.622,2.513,1.765,4.211,3.03,1.39,3.458,2.6,2.003,1.226,2.673,3.06,3.293,1.513,1.061,1.998,2.209,2.555,2.386,2.606,2.888,3.855,3.133,2.104,2.987,1.15,2.343,3.078,3.514,1.547,2.101,2.411,1.868,2.34,1.82,4.703
