Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,47.7035,68.36978,63.81934,82.32036,66.81664,57.71203,80.61196,53.74903,77.30179,70.00777,85.17448,59.40224,64.01488,73.57582,67.68791,84.59385,84.98106,74.8486,44.8338,60.76687,77.36322,80.54558,56.01493,53.68674,80.16051,82.9912,74.13579,74.96099,51.49193,57.16686,59.87025,75.16376,62.95808,58.74924,82.47108,77.06631,83.83582,67.31322,74.23964,56.07059,65.89253,70.39042,53.25061,79.47055,60.51683,69.4277,55.65373
2002,48.25956,69.26647,64.87492,82.90023,67.37694,58.95872,80.9782,55.04662,78.2207,70.5985,85.6376,59.99347,64.02291,74.08105,67.5102,84.94066,85.23243,75.1557,45.345,62.42716,78.47015,80.71418,56.1471,54.57685,80.96778,83.34069,74.45541,76.18645,51.52971,57.73579,60.97587,75.87664,63.26801,58.82353,82.65995,77.66636,84.29048,68.6944,74.38454,56.4141,66.23073,71.48563,53.28461,79.93687,60.58048,69.61266,55.99374
2003,48.88886,69.82252,65.47641,83.15257,67.79385,60.06437,81.31113,56.34135,78.65862,70.91512,86.04642,60.55041,64.14387,74.39219,66.66499,85.26364,85.44901,75.43452,46.05052,62.68817,79.40831,80.87006,56.1064,55.49596,81.69032,83.65663,74.45934,77.39754,52.15195,58.16821,61.86097,76.4829,63.53029,58.8894,82.84306,77.90175,84.78156,69.37704,74.84817,57.44941,66.90636,72.08216,53.39269,80.34916,60.70069,69.70812,56.29418
2004,49.51816,70.37857,66.07791,83.40492,68.21076,61.17002,81.64406,57.63609,79.09655,71.23174,86.45524,61.10735,64.26482,74.70333,65.81977,85.58662,85.66559,75.71335,46.75604,62.94918,80.34646,81.02594,56.06569,56.41507,82.41286,83.97256,74.46326,78.60863,52.77419,58.60063,62.74608,77.08916,63.79258,58.95527,83.02616,78.13714,85.27263,70.05969,75.31179,58.48472,67.58199,72.67869,53.50078,80.76144,60.82091,69.80359,56.59463
2005,50.14746,70.93462,66.6794,83.65726,68.62767,62.27567,81.97699,58.93083,79.53447,71.54836,86.86406,61.66428,64.38578,75.01447,64.97456,85.9096,85.88218,75.99218,47.46156,63.21019,81.28462,81.18182,56.02499,57.33418,83.1354,84.2885,74.46719,79.81972,53.39643,59.03306,63.63118,77.69543,64.05487,59.02114,83.20927,78.37254,85.76371,70.74233,75.77542,59.52003,68.25763,73.27522,53.60886,81.17373,60.94113,69.89905,56.89508
2006,50.77676,71.49067,67.2809,83.9096,69.04458,63.38132,82.30992,60.22557,79.9724,71.86499,87.27288,62.22122,64.50673,75.32561,64.12935,86.23258,86.09876,76.27101,48.16708,63.4712,82.22277,81.33769,55.98429,58.25329,83.85794,84.60444,74.47112,81.03082,54.01867,59.46548,64.51629,78.30169,64.31716,59.087,83.39238,78.60793,86.25479,71.42498,76.23904,60.55534,68.93326,73.87175,53.71694,81.58601,61.06134,69.99452,57.19552
2007,51.40605,72.04672,67.88239,84.16194,69.46149,64.48697,82.64285,61.52031,80.41032,72.18161,87.6817,62.77816,64.62768,75.63675,63.28414,86.55555,86.31534,76.54984,48.87259,63.73222,83.16093,81.49357,55.94358,59.1724,84.58049,84.92038,74.47505,82.24191,54.64091,59.8979,65.40139,78.90796,64.57944,59.15287,83.57549,78.84332,86.74587,72.10762,76.70266,61.59065,69.60889,74.46829,53.82502,81.9983,61.18156,70.08998,57.49597
2008,51.94744,72.10418,68.13393,84.39699,69.79594,65.15901,83.20813,62.24707,80.69784,72.47533,87.98481,63.24878,64.93268,77.01676,64.15609,86.81187,86.58808,76.77396,50.53754,64.30685,83.59474,81.67168,57.3546,59.95842,84.91897,85.33966,74.47891,82.50503,55.04443,60.35214,66.17052,79.3618,65.0424,59.21105,84.02515,79.12135,87.01603,72.03412,73.88897,62.2538,69.93683,74.99658,54.05741,82.28287,61.35899,70.41237,57.94831
2009,52.48883,72.16165,68.38547,84.63204,70.13039,65.83105,83.77341,62.97384,80.98536,72.76905,88.28793,63.7194,65.23767,78.39677,65.02804,87.06819,86.86081,76.99808,52.20248,64.88149,84.02856,81.84978,58.76562,60.74444,85.25745,85.75895,74.48277,82.76815,55.44795,60.80637,66.93965,79.81564,65.50536,59.26922,84.47481,79.39938,87.28618,71.96062,71.07527,62.91695,70.26476,75.52487,54.2898,82.56744,61.53641,70.73475,58.40065
2010,53.03022,72.21912,68.63701,84.86709,70.46484,66.50309,84.33869,63.7006,81.27287,73.06277,88.59104,64.19002,65.54267,79.77678,65.89999,87.32451,87.13354,77.2222,53.86743,65.45613,84.46237,82.02788,60.17664,61.53046,85.59594,86.17824,74.48664,83.03127,55.85146,61.26061,67.70877,80.26948,65.96832,59.32739,84.92446,79.6774,87.55634,71.88711,68.26158,63.5801,70.59269,76.05317,54.5222,82.85202,61.71384,71.05713,58.85298
2011,53.57161,72.27659,68.88854,85.10213,70.79929,67.17512,84.90398,64.42736,81.56039,73.3565,88.89415,64.66064,65.84766,81.15679,66.77194,87.58082,87.40627,77.44633,55.53238,66.03076,84.89619,82.20599,61.58766,62.31648,85.93442,86.59752,74.4905,83.29439,56.25498,61.71484,68.4779,80.72332,66.43127,59.38557,85.37412,79.95543,87.8265,71.81361,65.44788,64.24325,70.92063,76.58146,54.75459,83.13659,61.89127,71.37951,59.30532
2012,54.113,72.33405,69.14008,85.33718,71.13374,67.84716,85.46926,65.15413,81.84791,73.65022,89.19727,65.13126,66.15265,82.5368,67.64389,87.83714,87.679,77.67045,57.19732,66.6054,85.33,82.38409,62.99868,63.1025,86.2729,87.01681,74.49437,83.55751,56.6585,62.16907,69.24703,81.17716,66.89423,59.44374,85.82378,80.23346,88.09665,71.74011,62.63418,64.9064,71.24856,77.10975,54.98698,83.42116,62.06869,71.70189,59.75766
2013,54.65234,72.60779,69.26416,85.52548,71.65653,68.35764,85.85852,65.82915,82.17747,73.92719,89.3743,65.61209,66.48183,82.75451,67.87161,88.10794,87.86051,77.89936,57.43219,67.12048,85.81624,82.52321,63.18941,63.79285,86.6764,87.37187,74.81795,83.93068,57.06341,62.43548,69.89282,81.58159,67.09593,59.71765,86.04426,80.44558,88.33722,72.05927,63.02577,65.12409,71.56188,77.55989,55.20184,83.69535,62.20125,71.98973,60.0514
