Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,48.50606103,24.90153711,30.063236,29.58110098,36.58312895,39.31547701,29.98303043,40.345321,24.20403085,21.25051406,16.60572939,34.3749662,30.45634248,33.21411355,42.8168688,28.05619268,14.43765061,39.01258642,26.90567517,25.72805424,20.48833265,27.35075291,34.32386622,42.82645255,28.79883924,21.55434525,33.5981357,39.23090944,33.6886486,31.59742686,40.81698389,36.64769089,40.63290066,38.24993225,25.02183406,36.60977401,20.87741786,26.36281959,40.53863166,42.10914291,23.54278804,30.31791093,35.446515,23.8270406,35.93070039,30.59187338,48.05106573
2002,48.3474557,24.02550628,29.04140147,28.63137869,36.07307199,37.94652928,29.38206027,39.33927057,23.19703051,20.56607413,16.00370837,33.99174284,30.27879443,31.39799905,42.60657952,27.99014137,14.25554059,38.64742095,26.21045387,25.50119789,20.11669594,26.92605823,33.56601409,42.32591952,28.81446287,20.3326144,32.99378629,37.73569949,32.43924808,31.32963655,40.59968424,36.03085912,40.04577797,37.99219917,24.37908662,35.82887531,20.36170771,26.08390318,40.0774913,41.159004,23.15754658,29.87880864,34.75215709,22.16204192,34.95256945,29.70061899,47.5369684
2003,48.13166959,23.23683812,28.01500226,27.89080811,35.54952175,36.5760762,28.80131137,38.54095315,22.09961224,19.84603123,15.39063416,33.59301759,30.14106232,29.52437488,42.37079009,27.91329607,14.08565595,38.28111955,25.57883034,25.3025853,19.7269636,26.49011709,32.71749187,41.78370221,28.70807335,19.21025659,32.2971791,36.26862737,31.12065596,31.10745659,40.36468441,35.35960085,39.38876289,37.72734218,24.00275381,35.0009485,19.931142,25.89128748,39.54991866,40.13328902,22.8164618,29.43302511,34.13159881,20.61946087,33.93809553,28.89659752,47.02495281
2004,47.88143329,22.53007453,26.99548705,27.29591616,35.01669715,35.28424007,28.24515041,37.81888869,21.03721073,19.09640168,14.76380522,33.18915594,30.0220632,27.69373794,42.16537433,27.86333016,13.93526675,37.94020187,25.04670641,25.05460399,19.20419445,26.24495463,31.85763114,41.17355794,28.4276459,18.20798597,31.59602999,34.85230914,29.91319067,30.91028975,40.1110757,34.6903881,38.74866589,37.44156671,23.75084688,34.1999461,19.5399099,25.73542213,39.07255542,39.1724572,22.49419237,29.01169612,33.45600352,19.27038729,32.95675925,28.05971207,46.44449068
2005,47.59249897,21.90269251,26.01128664,26.76669581,34.47313457,34.10021761,27.67727121,37.06747373,20.08909424,18.34953979,14.1499445,32.78495988,29.90795511,26.02864588,42.01520469,27.85428482,13.80351551,37.66645003,24.63384735,24.71960235,18.54314877,26.24831905,31.07839553,40.50456291,27.90688925,17.2959891,30.86713636,33.51499174,28.9299162,30.71638676,39.82707075,34.03777827,38.17601188,37.0991672,23.47823697,33.47030923,19.14950648,25.58760685,38.69759081,38.35151797,22.15897453,28.62384968,32.67804574,18.17238647,32.06287852,27.15571196,45.77789092
2006,47.69633351,21.523829,25.14241001,24.80920655,34.02398803,33.19813471,27.25818281,36.24280611,19.40149351,17.9650166,13.4929632,32.42682999,29.54390742,25.16124774,41.8981532,27.67204119,13.68026775,37.43432899,24.40712957,24.39608731,18.22089276,25.51954427,30.64045055,39.77668841,27.18579871,16.32508421,30.12440725,32.3170024,28.12997853,30.598016,39.29298997,31.98009224,37.64014519,36.54044719,19.8939145,32.63161274,18.85149363,25.59432704,37.95524396,37.53922187,21.48152386,28.2242264,32.09005176,16.85761,31.24210097,26.43736413,45.15493596
2007,47.78680697,21.16982032,24.31706838,23.13446357,33.55625509,32.37481859,26.73804075,35.43021553,18.74316606,17.57827668,12.91996035,32.06180351,29.26311091,24.46739379,41.87309828,27.54229953,13.57974693,37.2264657,24.227016,23.98283506,17.89483851,24.98149564,30.28030363,39.04871916,26.29211739,15.30601069,29.38828608,31.20453861,27.57554066,30.43940239,38.78138719,30.2121253,37.21909086,35.91513803,17.18861195,31.92609112,18.54504272,25.5767087,37.37512932,36.89776379,20.85496015,27.86455428,31.29914465,15.641387,30.54023513,25.63778848,44.451142
2008,47.82522849,20.86722516,23.6004931,21.74287514,33.07739966,31.61426783,26.19870478,34.63415212,18.16931103,17.24754737,12.47415484,31.68878348,29.06259163,23.97260012,41.89112237,27.44225668,13.49158367,37.0493849,24.10183585,23.51615333,17.4558536,24.5614703,30.0398903,38.32960683,25.28818761,14.31534043,28.67315254,30.20939114,27.2371092,30.24413323,38.28077093,28.73745278,36.87123156,35.1913281,15.33879257,31.34757331,18.18301602,25.53641177,36.87940478,36.38610149,20.26046881,27.52754567,30.44216612,14.68175582,29.95338615,24.83750945,43.7180065
2009,47.76667769,20.64951782,23.06882432,20.60940495,32.59941928,30.86871141,25.70863904,33.91726314,17.72305212,17.02727708,12.18888301,31.30107744,28.94301941,23.65126856,41.89229697,27.34323067,13.3978872,36.88147104,24.06996714,23.06404376,16.88577032,24.1097679,29.93604458,37.63499786,24.36333949,13.4331278,28.01096808,29.36767132,27.04272445,30.02520648,37.75502238,27.50452287,36.53232878,34.39895892,14.18099225,30.85583749,17.7712858,25.48605691,36.32318693,35.93819791,19.70125201,27.19666228,29.72194997,13.94673595,29.46269254,24.16364844,43.02777624
2010,47.58934443,20.51495936,22.7374212,19.70437296,32.12760287,30.10776873,25.28159023,33.32680293,17.41490533,16.92385084,12.06000655,30.89429207,28.88516703,23.45877675,41.85805268,27.23813698,13.28989029,36.69264022,24.17824113,22.66596861,16.24006792,23.57474637,29.96817497,36.97763325,23.7213741,12.72253875,27.3609061,28.69337743,26.95372102,29.78694862,37.17242691,26.49480407,36.17750915,33.60992588,13.49437812,30.41843785,17.34226744,25.42707622,35.61390736,35.52707732,19.19536885,26.87712514,29.22981875,13.34009568,29.05901795,23.67586893,42.4126775
2011,47.10041772,19.94640133,22.28891168,20.09894228,31.55704564,29.49801023,24.70940785,32.91927917,17.20043138,17.0057628,11.82687458,30.5016899,28.59639283,23.38117513,41.74218343,27.3801871,13.21954942,36.49398827,24.5256385,22.26331483,15.7749713,23.45296543,30.06287376,36.50839049,23.62690229,12.57495217,26.80785906,28.24539747,27.12203442,29.37203123,36.32296227,24.68455637,35.97127346,33.23812717,13.99411264,29.94993337,16.9564946,25.2987238,36.01125243,35.34665347,18.845521,26.62877493,28.77733287,13.48236383,28.86754376,23.37506737,41.93347291
2012,46.44924313,19.43791489,22.1098551,20.46855937,31.01827097,28.80930899,24.27449743,32.49067657,17.12728993,17.07319784,11.7639215,30.08319214,28.38972243,23.3756501,41.55769187,27.5278845,13.13108503,36.30608035,24.97295864,21.94874822,15.2473638,23.13105027,30.31347874,36.00672017,23.70485537,12.5370453,26.35208404,27.92350725,27.33010509,28.95754804,35.39874799,23.13248479,35.70627876,32.86658526,14.428187,29.50994755,16.5863387,25.15304432,36.3398602,35.18742886,18.52637263,26.39812641,28.55824182,13.602617,28.70501378,23.19928057,41.48522401
2013,45.68525707,19.01308472,22.0799356,20.85114645,30.49787018,28.09575995,23.91281631,32.10237394,17.15430193,17.13736921,11.81244094,29.64812558,28.20757962,23.43029181,41.34497516,27.66660723,13.03314934,36.10158906,25.52592917,21.69158094,14.73676441,22.75800716,30.66880647,35.5192907,23.90740289,12.62305125,25.7614923,27.71573662,27.59013617,28.525998,34.44025703,21.94487616,35.42662598,32.52818267,14.86916596,29.12754924,16.2282801,24.98434969,36.58094439,35.04461473,18.23739609,26.17811254,28.48425446,13.71808648,28.59117138,23.12960676,41.06691295
