Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,4.122662406,-0.523523009,0.774765939,4.11852459,1.882916186,2.899315809,1.953245607,2.036652367,0.726380638,-0.724616161,0.736962668,1.732176951,1.365255918,1.451335133,2.901591622,2.357117299,0.240952588,2.470786591,-0.170069526,0.885824423,0.740212672,3.090034015,0.948856614,1.519813643,3.775738462,1.420951615,2.11327632,2.076199145,0.925488326,1.097158858,1.674169886,1.469191644,2.169127505,2.123131795,3.35807784,2.837337896,2.696743099,-1.609575898,2.059859936,1.671348276,1.144823556,1.479411555,1.112173034,5.353453922,1.265968533,1.266693587,2.831472705
2002,4.550804562,-0.418746421,0.746173583,4.291709957,1.816606212,2.991560471,1.854395147,1.855166429,0.669999568,-0.672509797,0.442846827,1.692964725,1.352808213,1.314337347,2.823714155,2.014058394,0.232527187,2.43105895,0.004125545,0.884021296,0.557631009,2.588930918,0.917899317,1.42106736,4.736427931,1.380557956,1.990896614,1.697833653,0.977711505,1.020321089,1.54562942,2.204560805,2.093909912,2.100572391,3.312195655,2.955557701,0.914127126,0.657513372,1.799333744,1.828918128,1.13130893,1.458665151,1.057928335,5.330874874,1.223831519,1.159864341,2.831814855
2003,4.639094454,-0.35600265,0.757650956,4.873994189,1.726004223,2.972162853,1.782019622,1.713924436,0.622860936,-0.647027897,-0.197404126,1.653868187,1.342892983,1.211884701,2.752720887,1.805519759,0.213980949,2.470229505,0.336402206,0.861384115,0.496708812,2.599242363,1.048444924,1.383663029,4.946036685,1.469635315,1.89749033,2.32955626,1.039877072,0.944399867,1.425253679,2.628373342,2.04446758,2.042313271,5.187439439,2.997596207,-1.476362031,1.323062299,1.788976941,1.953060015,1.05555737,1.424498963,1.035107069,6.60475571,1.163675244,1.162101037,2.836987908
2004,4.315131588,-0.344352298,0.87542728,5.913352624,1.605803333,2.840340006,1.742104045,1.623166596,0.593932815,-0.245166188,0.779918562,1.615377319,1.334985753,1.160569661,2.69251865,1.767623642,0.033662258,2.410677289,0.694922853,0.807518431,0.375613356,3.301352731,1.210105425,1.421838017,4.278581689,1.721084169,1.843038812,2.59754864,1.110678144,0.872632812,1.315175857,2.612003949,2.02780804,1.938993199,9.137650388,2.943199518,1.253412533,1.357252497,2.101926376,2.026767511,0.901956646,1.373267794,1.045284208,9.218805369,1.153769215,1.197021404,2.837468451
2005,3.7586963,-0.366336612,1.022265592,7.050667972,1.47034775,2.634044667,1.724985602,1.571770549,0.58812499,0.993130045,0.436871406,1.577221429,1.328581128,1.147658404,2.648814443,1.762897661,0.009392097,2.261567279,0.888891382,0.73348439,0.205166578,4.391727931,1.127864459,1.510353331,3.149097383,2.065404348,1.815480306,2.843793532,1.187575025,0.807402747,1.217714051,2.369273009,2.034422006,1.80998911,13.3821613,2.826604789,2.350538102,1.069638387,2.574822617,2.063969936,0.700020026,1.315792199,1.079196029,11.98015649,1.163350224,1.166721103,2.833150081
2006,3.161258348,-0.423993809,1.098586574,8.168395622,1.326957091,2.39101038,1.715292884,1.52954223,0.558374367,0.83567854,0.642270483,1.540257607,1.321272163,1.135887168,2.588194737,1.767805874,0.063373589,2.283829965,1.057664776,0.655349544,0.484653201,5.412506866,1.075051294,1.61996331,1.744868238,2.44326553,1.793868412,3.670136685,1.260092769,0.73919816,1.120831716,1.837306516,2.044604691,1.671011435,16.64027704,2.690328656,3.129293551,1.083500043,3.230564009,2.092532736,0.470338074,1.236206437,1.125837896,14.30513851,1.220216354,1.109343538,2.834859416
2007,2.718198096,-0.468893956,1.133855466,8.723739828,1.203348026,2.158359835,1.699185384,1.492209037,0.522271866,-0.218519617,0.859633272,1.502933906,1.31419028,1.118453194,2.54917716,1.776100869,0.114908848,2.232833674,1.143857766,0.590860946,0.465519941,6.052590066,0.953586964,1.711588214,0.697211668,2.733452117,1.764630625,4.692943222,1.331422082,0.67934976,1.03851908,1.568829987,2.051014965,1.554881104,17.62476956,2.576774423,4.165229452,0.907342616,3.656122004,2.127767563,0.270261425,1.173171827,1.172725711,15.03259817,1.423474897,1.083161816,2.837582104
2008,2.485314572,-0.438963628,2.099854033,8.33298234,1.125881485,1.964375993,1.675521988,1.481896344,0.512386932,-0.104876779,0.598238787,1.462900688,1.310351365,1.12281982,2.602733692,1.776579106,0.048425395,2.18406515,1.21836561,0.545474991,0.719755307,6.359991272,0.950220145,1.765658812,0.584834882,2.849749374,1.731284063,3.657228962,1.412772553,0.651129484,0.998557567,2.231531948,2.062431388,1.48567668,16.39282527,2.49630748,5.321577945,1.02768684,3.398175706,2.160607915,0.150117311,1.185293292,1.213340559,13.81006038,1.605327363,1.063214084,2.824087223
2009,2.525627754,-0.300313112,2.076148264,7.00785802,1.109061795,1.83064949,1.639385248,1.500683641,0.497381401,0.61628221,0.215353334,1.419375347,1.310373377,1.151869286,2.768226684,2.390207338,-0.012494631,2.205029088,2.636252653,0.526486163,0.475570549,6.301268283,1.207265644,1.766052994,1.745355048,2.747579949,1.690201436,-0.554018038,1.506131801,0.663517849,1.010945392,4.056146028,2.077630164,1.478287249,13.59009481,2.462249153,3.016408604,1.002563931,2.310819093,2.193661473,0.14276839,1.295093417,1.241242507,11.03823756,1.687340969,1.059119876,2.789800585
2010,2.736885959,-0.088100324,1.189787708,5.252839542,1.134879634,1.738886845,1.594637459,1.538192192,0.482959689,0.945436152,0.734446396,1.374351006,1.311455309,1.195468741,2.994671384,1.82675241,0.017960542,2.190539893,1.412240469,0.5266798,0.46317647,6.002088065,1.192864429,1.730244893,3.649092764,2.5040346,1.643919239,1.92578166,1.601043744,0.704713591,1.059488285,6.370177491,2.093541936,1.512932342,10.3983646,2.454733368,1.770661207,0.987770482,0.744689366,2.223734022,0.21589135,1.461468388,1.258080321,7.787342107,2.822849683,1.049400377,2.740442568
