Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,48.47107519,52.78970574,51.08800427,42.441786,48.97188558,48.28456018,49.20670239,51.4150549,48.62255904,52.71787832,51.49179307,48.19553409,49.93068283,49.24569771,49.50976953,50.71261244,51.11180377,47.98398096,52.07691496,51.25097419,49.85278,41.24145361,50.63791868,50.2589728,50.17591428,51.77156188,48.99232226,49.4199048,50.12148055,51.13254332,50.33541153,44.39432936,48.41618587,49.67041013,35.45639705,44.85732579,50.11385111,50.2228406,49.14510327,49.85200495,50.5752456,50.80739677,50.64014771,31.86093885,50.50985449,50.74372669,49.44923566
2002,48.40785944,52.46715972,51.01147876,41.92551336,48.98099043,47.87465681,49.14454123,51.43716472,48.6116635,52.76463421,51.67392562,48.18963487,49.90376852,49.14360568,49.4896105,50.7015864,51.13708759,48.04292828,52.07116233,51.23663474,49.88513367,41.12828473,50.60019861,50.34714322,49.90385603,51.85983997,48.91718448,49.49112002,50.13871479,51.13750985,50.34969045,44.57298824,48.42552296,49.71036004,36.0438722,44.71747568,50.17937179,50.33319228,49.02876719,49.81606233,50.58912398,50.81351519,50.64675843,31.43282676,50.55674906,50.75183824,49.46999795
2003,48.3381442,52.04678536,50.91891142,41.29859046,48.99656475,47.42762874,49.00888839,51.45877323,48.59917915,52.80587186,51.84579324,48.18344531,49.87266248,49.03986998,49.46903341,50.68741357,51.16222167,48.09369805,52.04517718,51.21912402,49.92871347,41.03467903,50.56452684,50.44051778,49.62050151,51.95161884,48.84476058,49.57490949,50.17304261,51.13834326,50.34572096,44.54832657,48.43560539,49.74458651,36.18058414,44.53578785,50.24067158,50.45168786,48.91265133,49.7798135,50.59151534,50.81955875,50.65472815,30.83958345,50.60533739,50.75798798,49.48203294
2004,48.29440188,51.53755045,50.82479911,40.61094891,49.02523282,47.02846737,48.85409053,51.47040184,48.58650457,52.83029252,52.02130171,48.17690321,49.83686869,48.96834629,49.45199052,50.6733879,51.18609841,48.14229857,52.00992855,51.20193935,49.9777686,41.08045629,50.54190879,50.51556011,49.37313484,52.02898519,48.79392361,49.65507124,50.21266744,51.13953237,50.36694786,44.3856165,48.44899468,49.75793903,35.26791568,44.35136922,50.30226982,50.57555426,48.84060373,49.75146356,50.58984759,50.82627904,50.66456939,29.97933825,50.65079196,50.75841614,49.48925117
2005,48.29363571,50.95871628,50.73940275,39.9224234,49.07060051,46.72962069,48.71797706,51.46613476,48.57464239,52.82984971,52.20788122,48.17006874,49.79666124,48.95104775,49.44082608,50.66156325,51.2079572,48.19256844,51.97352378,51.18750746,50.02772243,41.32706074,50.53930528,50.55663939,49.18468521,52.07978656,48.73125876,49.72029852,50.24914435,51.14406199,50.44138541,44.11978822,48.4671101,49.74182731,33.32297795,44.18987417,50.36666414,50.70251023,48.83925531,49.73549203,50.58953094,50.8340574,50.67657096,28.91711156,50.68965686,50.75073972,49.49440327
2006,48.34038719,50.27641755,50.66599616,39.2527487,49.13501754,46.54171415,48.60681787,51.44356232,48.56394759,52.79990499,52.40941344,48.1628209,49.75163303,48.99595709,49.43632934,50.65351698,51.22737693,48.24214886,51.93752871,51.17625662,50.07803595,41.76688995,50.56071214,50.55921239,49.04744616,52.10119067,48.67212306,49.76915736,50.28051768,51.15290052,50.57602938,43.81505113,48.49058761,49.69220393,30.75346402,44.05747696,50.43495296,50.83165679,48.9186948,49.73606985,50.59097248,50.84346387,50.69081226,27.76082402,50.72020684,50.73402794,49.4968065
2007,48.42122962,49.52081863,50.60213783,38.63747945,49.2146201,46.44086102,48.5118531,51.40618558,48.55414374,52.74351699,52.6183219,48.15546109,49.70378158,49.09151743,49.4368998,50.64818007,51.24453698,48.28909974,51.90061187,51.16721194,50.12876863,42.3164661,50.60072439,50.53072294,48.94977904,52.09848648,48.6159566,49.80523905,50.30885815,51.16450061,50.75472443,43.43340723,48.51806816,49.61664581,28.24196004,43.94698691,50.50423799,50.96211149,49.05709719,49.74876113,50.59271715,50.85401827,50.70693369,26.6964776,50.74310273,50.70973465,49.49528146
2008,48.51290907,48.85394394,50.54533843,38.13736974,49.29932332,46.39980431,48.43717994,51.36127191,48.54484825,52.66988849,52.8160519,48.14893954,49.65847642,49.21606085,49.43958555,50.64189784,51.26005848,48.33728922,51.86429149,51.15969924,50.17673939,42.87240924,50.64589237,50.48235538,48.90252541,52.07816683,48.56607031,49.83054332,50.33471931,51.17631184,50.95385282,42.81201728,48.54656878,49.53218494,26.28884016,43.85306169,50.56852662,51.09172622,49.21461386,49.75992794,50.59607991,50.86382409,50.72443727,25.8800616,50.76021458,50.68084476,49.49138095
2009,48.58481868,48.49560434,50.49124279,37.79167997,49.37561003,46.38048684,48.38457166,51.31872918,48.53544272,52.59297756,52.97815959,48.14444823,49.62242892,49.33922651,49.44054237,50.62986681,51.27490005,48.39158016,51.8298266,51.15262693,50.21833123,43.33063889,50.67851109,50.42964152,48.9202825,52.04879125,48.51806349,49.8474196,50.35960821,51.18472018,51.14025423,41.7791999,48.5722445,49.46143238,25.10924482,43.76699297,50.62029907,51.2180838,49.34664588,49.75216319,50.60237019,50.87035802,50.7425848,25.38107253,50.77447017,50.65150586,49.48700514
2010,48.6176717,48.59132592,50.43720844,37.60206577,49.43422059,46.35693916,48.35393667,51.28533362,48.52554642,52.52333339,53.08869433,48.14274608,49.59997206,49.43958977,49.4373522,50.60913421,51.28977973,48.45425958,51.79831256,51.145209,50.25116194,43.64147028,50.68727312,50.38332132,49.00589234,52.01654989,48.474217,49.85852815,50.38454917,51.18731244,51.29029678,40.34185003,48.59257066,49.41952561,24.64971937,43.68405968,50.65522259,51.33915065,49.42911408,49.71585513,50.61245105,50.87207215,50.76093887,25.18122138,50.78785097,50.62475374,49.4835277
