Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,20531160,3060036,8111200,694893,133776064,580784,337074,12448881,1271850000,4386400,6714300,1071888190,214448301,66812736,24258794,6439000,127149000,4917000,14858335,23043441,47357362,1990022,4945100,5424701,3359875,438088,23920963,292000,2419729,48195684,24140941,2272547,141282077,79604541,613720,22007937,4138000,18797000,16694414,6290413,63415174,64182694,4551762,3217865,24964450,78620500,18306287
2002,21487079,3047249,8171950,725365,136228456,598421,343383,12681984,1280400000,4357000,6744100,1090189358,217369087,67696677,24943793,6570000,127445000,5038000,14858948,23248053,47622179,2042215,4990700,5502340,3522842,444178,24401977,297000,2443503,48689952,24516969,2323203,144271586,81294378,634388,22668102,4176000,18921000,16997521,6406518,64136669,65125766,4600172,3394060,25271850,79537700,18832097
2003,22507368,3036420,8234100,761595,138600174,616474,349557,12901217,1288400000,4328900,6730800,1108369577,220307809,68522074,25630426,6689700,127718000,5164000,14909018,23449173,47859311,2095993,5043300,5579003,3701464,450754,24869423,304000,2469045,49151958,24868900,2385075,147251530,82971734,668165,23357887,4114800,19173000,17304339,6532871,64817254,66060121,4648036,3625798,25567650,80467400,19374012
2004,23499850,3025982,8306500,807989,140843786,634235,355700,13112334,1296075000,4318300,6783500,1126419321,223268606,69321953,26320530,6809000,127761000,5290000,15012985,23639296,48039415,2166344,5104700,5658894,3863271,458579,25332026,312000,2496621,49582751,25198130,2448194,150267989,84596249,732096,24055573,4166700,19435000,17671913,6666628,65404522,66973561,4696876,3975945,25864350,81436400,19931617
2005,24399948,3014917,8391850,867014,142929979,651163,361889,13320058,1303720000,4361400,6813200,1144326293,226254703,70122115,27017712,6930100,127773000,5411000,15147029,23813324,48138077,2263604,5162600,5745012,3986865,468149,25796124,321000,2526447,49984704,25506847,2506891,153356383,86141373,836924,24745230,4265800,19644000,18132842,6805655,65863973,67860617,4747839,4481976,26167000,82392100,20504385
2006,25183615,3002161,8484550,940808,144839238,666920,368150,13525360,1311020000,4398000,6857100,1162088305,229263980,70923164,27716983,7053700,127854000,5536000,15308084,23969897,48371946,2389498,5218400,5838837,4057041,479728,26263048,333000,2558484,50355559,25794344,2553376,156524189,87592899,988448,25419994,4401400,19858000,18728200,6949566,66174486,68704721,4801594,5171255,26488250,83311200,21093973
2007,25877544,2988117,8581300,1026568,146592687,681471,374459,13728700,1317885000,4388400,6916300,1179685631,232296830,71720859,28423538,7180100,128001000,5661000,15484192,24111945,48597652,2538591,5268400,5939634,4085426,493022,26730607,349000,2592776,50698814,26063619,2593750,159767672,88965508,1178955,26083522,4588600,20039000,19425597,7099021,66353572,69515492,4858235,6010100,26868000,84218500,21701105
2008,26528741,2975029,8763400,1115777,148252473,694990,380786,13933660,1324655000,4383800,6957800,1197070109,235360765,72530693,29163327,7308800,128063000,5786000,15674000,24243829,48948698,2705290,5318700,6045439,4109389,507274,27197419,362000,2629666,51030006,26325183,2652281,163096985,90297115,1388962,26742842,4839400,20246000,20097057,7254072,66453255,70344357,4917541,6900142,27302800,85118700,22322699
2009,27207291,2966108,8947243,1196774,149905836,707830,387080,14144337,1331260000,4410900,6972800,1214182182,238465165,73370982,29970634,7485600,128047000,5915000,16092701,24371806,49182038,2881243,5383300,6153153,4181742,521405,27661017,360000,2669572,51369725,26592666,2762073,166520983,91641881,1591151,27409491,4987600,20450000,20566871,7414960,66548197,71261307,4978960,7705423,27767400,86025000,22954226
2010,27962207,2963496,9054332,1261319,151616777,720246,393302,14363586,1337705000,4452800,7024200,1230984504,241613126,74253373,30868156,7623600,128070000,6046000,16321581,24500506,49410366,3059473,5447900,6260544,4337156,534626,28119500,367000,2712657,51733013,26875910,2943747,170043918,93038902,1765513,28090647,5076700,20653000,20720602,7581696,66692024,72310416,5041995,8329453,28562400,86932500,23591972
2011,28809167,2967984,9173082,1306014,153405612,732246,399443,14593099,1344130000,4483350,7071600,1247446011,244808254,75184322,31810191,7765800,127817277,6181000,16556600,24631359,49779440,3239181,5514600,6366909,4388637,546682,28572970,377000,2759074,52125411,27179237,3210003,173669648,94501233,1905437,28788438,5183700,20869000,21070917,7753925,66902958,73199372,5106672,8734722,29339400,87840000,24234940
2012,29726803,2978339,9295784,1333577,155257387,743711,405512,14832255,1350695000,4490700,7154600,1263589639,248037853,76156975,32780975,7910500,127561489,6318000,16791425,24763353,50004441,3419581,5607200,6473050,4440728,557763,29021940,385000,2808339,52543841,27500515,3545192,177392252,96017322,2015624,29496047,5312400,20328000,21427155,7930929,67164130,74099255,5172941,8952542,29774500,88772900,24882792
2013,30682500,2992192,9416801,1349427,157157394,754637,411499,15078564,1357380000,4487200,7187500,1279498874,251268276,77152445,33781385,8059500,127338621,6460000,17035275,24895705,50219669,3593689,5719600,6579985,4493438,568056,29465372,393000,2859174,52983829,27834981,3906912,181192646,97571676,2101288,30201051,5399200,20483000,21789415,8111894,67451422,75010202,5240088,9039978,30243200,89708900,25533217
